"velocity_vectors:0","velocity_vectors:1","velocity_vectors:2","another_vector_set:0","another_vector_set:1","another_vector_set:2","EinLustigerSkalar","Points:0","Points:1","Points:2"
-0.86472,0.085186,-0.49498,-8.6472,0.17037,-0.49498,1,1.05e-007,7.5e-008,1.5e-008
-0.95267,0.15798,-0.25972,-9.5267,0.31597,-0.25972,1,1.05e-007,8.5e-008,5e-009
-0.92938,0.1098,-0.35242,-9.2938,0.21959,-0.35242,1,1.05e-007,8.5e-008,1.5e-008
-0.96063,0.15426,-0.23108,-9.6063,0.30852,-0.23108,1,1.05e-007,9.5e-008,5e-009
-0.95006,0.10643,-0.29336,-9.5006,0.21285,-0.29336,1,1.05e-007,9.5e-008,1.5e-008
-0.9615,0.023677,-0.27378,-9.615,0.047353,-0.27378,1,9.5e-008,1.05e-007,5e-009
-0.94678,0.17768,-0.26839,-9.4678,0.35535,-0.26839,1,1.05e-007,1.05e-007,5e-009
-0.96779,-0.026567,-0.25036,-9.6779,-0.053133,-0.25036,1,9.5e-008,1.05e-007,1.5e-008
-0.94571,0.12181,-0.30133,-9.4571,0.24362,-0.30133,1,1.05e-007,1.05e-007,1.5e-008
-0.75844,0.060776,-0.6489,-7.5844,0.12155,-0.6489,1,1.15e-007,6.5e-008,5e-009
-0.39671,-0.56355,0.72459,-3.9671,-1.1271,0.72459,1,1.15e-007,5.5e-008,5e-009
-0.58303,0.078576,-0.80864,-5.8303,0.15715,-0.80864,1,1.15e-007,6.5e-008,1.5e-008
-0.52462,0.82625,0.20514,-5.2462,1.6525,0.20514,1,1.15e-007,5.5e-008,1.5e-008
-0.82173,0.2814,-0.49556,-8.2173,0.56279,-0.49556,1,1.15e-007,7.5e-008,5e-009
-0.70102,0.22141,-0.6779,-7.0102,0.44281,-0.6779,1,1.15e-007,7.5e-008,1.5e-008
-0.84668,0.39519,-0.35632,-8.4668,0.79038,-0.35632,1,1.15e-007,8.5e-008,5e-009
-0.79394,0.32267,-0.51531,-7.9394,0.64534,-0.51531,1,1.15e-007,8.5e-008,1.5e-008
-0.85769,0.42674,-0.2868,-8.5769,0.85348,-0.2868,1,1.15e-007,9.5e-008,5e-009
-0.83924,0.36207,-0.40569,-8.3924,0.72414,-0.40569,1,1.15e-007,9.5e-008,1.5e-008
-0.85726,0.42688,-0.28789,-8.5726,0.85376,-0.28789,1,1.15e-007,1.05e-007,5e-009
-0.85715,0.36263,-0.36577,-8.5715,0.72527,-0.36577,1,1.15e-007,1.05e-007,1.5e-008
-0.59123,0.51064,-0.62425,-5.9123,1.0213,-0.62425,1,1.25e-007,7.5e-008,5e-009
-0.59637,0.28137,-0.75178,-5.9637,0.56274,-0.75178,1,1.25e-007,6.5e-008,5e-009
-0.45922,0.39112,-0.79758,-4.5922,0.78225,-0.79758,1,1.25e-007,7.5e-008,1.5e-008
-0.42999,0.25138,-0.86713,-4.2999,0.50275,-0.86713,1,1.25e-007,6.5e-008,1.5e-008
-0.60934,0.6505,-0.45339,-6.0934,1.301,-0.45339,1,1.25e-007,8.5e-008,5e-009
-0.54767,0.53361,-0.64446,-5.4767,1.0672,-0.64446,1,1.25e-007,8.5e-008,1.5e-008
-0.64652,0.67545,-0.35466,-6.4652,1.3509,-0.35466,1,1.25e-007,9.5e-008,5e-009
-0.63027,0.58344,-0.51221,-6.3027,1.1669,-0.51221,1,1.25e-007,9.5e-008,1.5e-008
0.22054,0.11259,-0.96886,2.2054,0.22519,-0.96886,1,3.5e-008,6.5e-008,2.5e-008
-0.42573,0.44707,0.78669,-4.2573,0.89414,0.78669,1,3.5e-008,7.5e-008,2.5e-008
-0.56447,0.37825,0.73369,-5.6447,0.75651,0.73369,1,4.5e-008,7.5e-008,2.5e-008
